stock_name,date,open,high,low,close,volume
PFE,2022-08-12 05:00:00,43.9743,43.9743,43.9743,43.9743,100
PFE,2022-08-12 04:00:00,43.9199,43.9743,43.9199,43.9652,2828
PFE,2022-08-11 19:00:00,43.7928,43.8291,43.7747,43.7747,3992
PFE,2022-08-11 18:00:00,43.811,43.82,43.7928,43.7928,5272
PFE,2022-08-11 17:00:00,43.82,43.82,43.7747,43.7837,2188
PFE,2022-08-11 16:00:00,43.82,43.9017,43.7083,43.82,3913520
PFE,2022-08-11 15:00:00,43.7202,43.8563,43.6703,43.8291,6578055
PFE,2022-08-11 14:00:00,43.6349,43.7837,43.5024,43.7248,4620005
PFE,2022-08-11 13:00:00,43.4843,43.9017,43.4661,43.6295,3478540
PFE,2022-08-11 12:00:00,43.9199,43.9652,43.3845,43.4752,5421454
PFE,2022-08-11 11:00:00,44.1195,44.2828,43.9097,43.9199,3926870
PFE,2022-08-11 10:00:00,43.9153,44.4643,43.8563,44.1149,5539511
PFE,2022-08-11 09:00:00,43.9924,44.5823,43.6295,43.9153,5725822
PFE,2022-08-11 08:00:00,44.6003,45.2799,43.4934,43.9289,540951
PFE,2022-08-11 07:00:00,44.5551,44.6004,43.7384,43.8291,186970
PFE,2022-08-11 06:00:00,44.9453,45.0995,44.4643,44.5551,49428
PFE,2022-08-11 05:00:00,44.9634,44.9634,44.9543,44.9543,385
PFE,2022-08-11 04:00:00,45.0269,45.163,44.9453,44.9453,1271
PFE,2022-08-10 19:00:00,45.163,45.2992,45.163,45.163,4003
PFE,2022-08-10 18:00:00,45.2901,45.2901,45.281,45.281,500
PFE,2022-08-10 17:00:00,45.191,45.2992,45.191,45.2992,525
PFE,2022-08-10 16:00:00,45.3264,45.3264,45.0451,45.2356,2166851
PFE,2022-08-10 15:00:00,45.0587,45.3899,45.0451,45.3173,3055226
PFE,2022-08-10 14:00:00,44.8594,45.0814,44.8545,45.0587,1407892
PFE,2022-08-10 13:00:00,44.8636,44.918,44.8182,44.859,1105551
PFE,2022-08-10 12:00:00,44.9815,44.9815,44.8091,44.8636,1827141
PFE,2022-08-10 11:00:00,45.0269,45.1676,44.8817,44.977,2076763
PFE,2022-08-10 10:00:00,45.2356,45.2356,44.9271,45.0224,2465269
PFE,2022-08-10 09:00:00,45.2145,45.4126,45.0904,45.2447,1572081
PFE,2022-08-10 08:00:00,45.2091,45.3486,45.0269,45.1903,24018
PFE,2022-08-10 07:00:00,45.0995,45.1721,44.9634,45.1721,1547
PFE,2022-08-10 04:00:00,45.163,45.163,45.1358,45.1358,551
PFE,2022-08-09 19:00:00,45.1993,45.1993,45.1903,45.1903,933
PFE,2022-08-09 18:00:00,45.2629,45.2719,45.1993,45.1993,1102
PFE,2022-08-09 17:00:00,45.1721,45.1721,45.1721,45.1721,401
PFE,2022-08-09 16:00:00,45.1721,45.281,45.0995,45.1812,2381870
PFE,2022-08-09 15:00:00,45.1313,45.3264,45.0678,45.1812,1842313
PFE,2022-08-09 14:00:00,45.1267,45.1857,44.9362,45.1358,1467487
PFE,2022-08-09 13:00:00,45.2447,45.3128,45.1086,45.1313,703567
PFE,2022-08-09 12:00:00,45.2629,45.3627,45.1903,45.2447,784395
PFE,2022-08-09 11:00:00,45.0859,45.2629,45.0088,45.2583,988109
PFE,2022-08-09 10:00:00,45.2855,45.3445,45.0178,45.0859,1131669
