,date,stock_name,open,high,low,close,volume
3066,2016-02-19 14:00:00,GS,122.7265,122.7933,122.434,122.5844,358037
3067,2016-02-19 13:00:00,GS,122.7515,122.902,122.576,122.6847,302124
3068,2016-02-19 12:00:00,GS,122.7432,122.9939,122.6345,122.7683,474901
3069,2016-02-19 11:00:00,GS,122.4632,123.4619,122.317,122.7014,772644
3070,2016-02-19 10:00:00,GS,122.4758,122.8936,121.5397,122.4925,611641
3071,2016-02-19 09:00:00,GS,122.9688,123.0691,122.2083,122.4674,687599
3072,2016-02-19 08:00:00,GS,122.9856,122.9856,122.9688,122.9688,900
3073,2016-02-19 07:00:00,GS,122.9521,122.9521,122.9521,122.9521,100
3074,2016-02-19 06:00:00,GS,123.019,123.019,123.019,123.019,750
3075,2016-02-18 17:00:00,GS,123.7711,123.8547,123.4619,123.4619,10081
3076,2016-02-18 16:00:00,GS,123.4619,123.4619,123.4118,123.4118,363466
3077,2016-02-18 15:00:00,GS,123.7126,123.9216,123.2948,123.4201,1109475
3078,2016-02-18 14:00:00,GS,123.5747,123.9717,123.5037,123.7126,916395
3079,2016-02-18 13:00:00,GS,123.3407,123.721,123.1778,123.5873,536886
3080,2016-02-18 12:00:00,GS,123.4201,123.8464,123.2697,123.3867,575040
3081,2016-02-18 11:00:00,GS,124.5567,124.5567,123.1611,123.3951,464827
3082,2016-02-18 10:00:00,GS,125.5679,125.5679,124.3729,124.5567,648566
3083,2016-02-18 09:00:00,GS,126.9385,127.0305,125.3674,125.5512,640065
3084,2016-02-18 08:00:00,GS,126.3619,126.997,126.1947,126.7296,4071
3085,2016-02-18 07:00:00,GS,126.2031,126.3452,126.1947,126.3452,1900
3086,2016-02-17 17:00:00,GS,126.4956,126.4956,126.4956,126.4956,300
3087,2016-02-17 16:00:00,GS,126.1446,126.1947,126.0777,126.1947,173004
3088,2016-02-17 15:00:00,GS,125.7267,126.1947,125.6599,126.1112,843353
3089,2016-02-17 14:00:00,GS,126.1613,126.8717,125.6181,125.7058,798776
3090,2016-02-17 13:00:00,GS,126.153,126.295,125.7184,126.1864,470960
3091,2016-02-17 12:00:00,GS,126.178,126.5457,125.9607,126.1446,509629
