,date,returns,rewards,portfolio_values
59,2023-06-23,-0.008222103118896484,-171.71094500821337,105909.21875
60,2023-06-26,-0.007472336292266846,-170.35596513244968,105117.828125
61,2023-06-27,0.0029810667037963867,-169.17976570401166,105431.1953125
62,2023-06-28,0.0035058259963989258,-168.32206083700106,105800.8125
63,2023-06-29,0.007452726364135742,-168.4860887152031,106589.3203125
64,2023-06-30,0.011173248291015625,-171.11188209458578,107780.265625
65,2023-07-03,-0.0005991458892822266,-173.35346081975084,107715.6875
66,2023-07-05,-0.003616154193878174,-174.54017009626136,107326.171875
67,2023-07-06,-0.012527942657470703,-173.70676546654528,105981.59375
68,2023-07-07,-0.0036987662315368652,-172.6022974996859,105589.59375
69,2023-07-10,-0.0016762018203735352,-171.44285599171323,105412.6015625
70,2023-07-11,0.006511807441711426,-170.74254293097079,106099.0234375
71,2023-07-12,0.007682442665100098,-171.0417031324901,106914.1171875
72,2023-07-13,0.005109071731567383,-172.22595044815804,107460.3515625
73,2023-07-14,-0.0024616122245788574,-172.84707213939828,107195.828125
74,2023-07-17,0.001924753189086914,-173.74384661026053,107402.1484375
75,2023-07-18,0.007291555404663086,-176.11347952466903,108185.2734375
76,2023-07-19,0.0020987987518310547,-178.82055338246437,108412.3359375
77,2023-07-20,0.008930802345275879,-183.79955391481258,109380.546875
78,2023-07-21,0.004934906959533691,-189.95168892836557,109920.328125
79,2023-07-24,0.010724186897277832,-199.41333076854312,111099.1328125
80,2023-07-25,0.001366257667541504,-208.50781822817655,111250.921875
81,2023-07-26,0.0030651092529296875,-217.9024146135023,111591.9140625
82,2023-07-27,-0.0075553059577941895,-223.95371160621343,110748.8046875
83,2023-07-28,0.007506608963012695,-231.88808076288583,111580.1484375
84,2023-07-31,0.0029456615447998047,-240.1553378765881,111908.828125
85,2023-08-01,-0.0031012892723083496,-246.78923332578557,111561.765625
86,2023-08-02,-0.01237720251083374,-249.76976521649715,110180.9453125
87,2023-08-03,0.001692652702331543,-252.9063926048915,110367.4375
88,2023-08-04,-0.006767094135284424,-254.5182845267184,109620.5703125
89,2023-08-07,0.008244752883911133,-257.6013145211172,110524.3671875
90,2023-08-08,-0.0030254721641540527,-259.8896247150025,110189.9765625
91,2023-08-09,-0.004103302955627441,-261.2977018330366,109737.8359375
92,2023-08-10,-0.0009333491325378418,-262.4571290687159,109635.4140625
93,2023-08-11,0.006147980690002441,-264.5651758653799,110309.4453125
94,2023-08-14,0.0015444755554199219,-266.82736722307897,110479.8125
95,2023-08-15,-0.015475630760192871,-266.71087471582,108770.0703125
96,2023-08-16,-0.006156206130981445,-265.9936738616903,108100.4609375
97,2023-08-17,0.0036950111389160156,-265.58612392598786,108499.890625
98,2023-08-18,-0.00018835067749023438,-265.1567261387855,108479.453125
