TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,5,10,10,0.02,787719.5,-0.280392981,1.290364512,7.877195,126880.51,-0.108715854,1.402095628,1.268805078,0.484052324,0.613545722,0.557350685,0.551649577
30,4,20,20,0.02,1149934.2,-0.280393014,1.433356196,11.4993425,129533.64,-0.113170969,1.332575472,1.295336406,0.514382497,0.596167519,0.539211164,0.549920393
60,4,20,20,0.01,301039.3,-0.471981559,0.715088391,3.010393125,124946.586,-0.108876877,1.466387854,1.249465859,0.461944051,0.62961708,0.556695061,0.549418731
30,3,20,5,0.01,1340436.8,-0.276962013,1.538813453,13.4043675,130752.26,-0.120072242,1.333319016,1.307522578,0.528313526,0.596353385,0.511111822,0.545259578
60,4,5,20,0.01,967864.94,-0.276912241,1.379755133,9.678649375,126223.82,-0.108874316,1.353013535,1.262238203,0.476545182,0.601276495,0.556705488,0.544842388
30,3,5,10,0.01,996135.6,-0.283500768,1.376876648,9.96135625,130281.67,-0.121134475,1.332968988,1.302816719,0.522933866,0.596265887,0.506786815,0.541995523
30,4,5,10,0.01,727407.75,-0.280392759,1.195637507,7.2740775,123198.6,-0.105701475,1.395117921,1.231986016,0.441961385,0.611801479,0.569624079,0.541128981
60,5,20,10,0.02,660196.4,-0.385158658,1.166593574,6.60196375,124460.38,-0.108877359,1.380430553,1.244603828,0.456385858,0.608130025,0.556693099,0.540402994
30,5,10,10,0.01,928401.7,-0.280392692,1.341465407,9.284016875,130555.92,-0.128853418,1.317885691,1.305559219,0.526069046,0.592495461,0.475358237,0.531307581
30,3,20,10,0.02,1050828.1,-0.319972566,1.387546908,10.50828125,123565.8,-0.106694451,1.25708729,1.235657969,0.4461591,0.577297467,0.565581064,0.52967921
90,5,5,10,0.02,891908.94,-0.385158825,1.289411462,8.919089375,119721.54,-0.096501056,1.246887273,1.197215391,0.402212185,0.574747732,0.607084664,0.52801486
90,3,5,5,0.02,945218.56,-0.38515879,1.311632572,9.452185625,119333.9,-0.096513671,1.228580754,1.193338984,0.397780742,0.570171586,0.607033299,0.524995209
30,4,20,5,0.01,876753.3,-0.314301665,1.311067527,8.767533125,128768.79,-0.129156577,1.319164467,1.287687891,0.505638841,0.592815122,0.474123887,0.524192617
60,3,20,20,0.01,557282.44,-0.456209159,1.045411698,5.572824375,124073.28,-0.113229776,1.258400718,1.240732813,0.451960577,0.577625789,0.538971721,0.522852696
30,4,20,10,0.01,607261.5,-0.378851693,1.107153831,6.072615,126840.51,-0.120128966,1.20486181,1.268405078,0.483595051,0.564242476,0.510880863,0.519572797
30,5,10,20,0.01,566151.06,-0.468991534,0.998204815,5.661510625,137927.23,-0.172160329,1.528911676,1.379272344,0.610336664,0.645246384,0.299029082,0.518204043
90,3,5,20,0.01,609720.2,-0.280315035,1.141929059,6.097201875,107900.234,-0.066275783,1.153603781,1.079002344,0.267072997,0.551429323,0.730150398,0.516217572
60,4,5,10,0.02,646564,-0.280392824,1.199414851,6.46564,127125.75,-0.144695032,1.503689076,1.2712575,0.486855892,0.6389414,0.410857254,0.512218182
60,5,10,20,0.02,273818,-0.348857385,0.794752986,2.73818,125279.195,-0.129908586,1.338462836,1.252791953,0.465746386,0.597639204,0.471061995,0.511482528
60,3,5,20,0.01,826906.4,-0.28036607,1.358741757,8.26906375,119243.45,-0.108876886,1.264112365,1.192434531,0.396746786,0.57905355,0.556695023,0.510831786
30,3,5,10,0.02,689137.9,-0.284127089,1.159575868,6.89137875,120784.79,-0.110028542,1.157663497,1.207847891,0.414367082,0.552444144,0.552005923,0.506272383
90,5,5,20,0.01,598792.2,-0.385158958,1.093109024,5.987921875,115333.14,-0.096515914,1.133417481,1.153331406,0.352044744,0.546383281,0.607024166,0.501817397
60,5,5,20,0.02,903747.25,-0.314272835,1.320553402,9.0374725,122381.05,-0.120683907,1.184590473,1.223810469,0.432615236,0.559175177,0.508621357,0.500137257
60,3,5,20,0.02,809348.6,-0.292572619,1.328682768,8.09348625,117050.516,-0.111890938,1.270210563,1.170505156,0.371677489,0.580577939,0.544422956,0.498892795
60,5,10,20,0.01,621777,-0.385158838,1.122347529,6.21777,122258.67,-0.123455265,1.173534385,1.222586719,0.431216265,0.556411447,0.497337447,0.494988386
60,4,20,5,0.02,771447.7,-0.2803932,1.267437639,7.714476875,118888.26,-0.112960035,1.154703564,1.188882578,0.392686252,0.551704239,0.540070005,0.494820166
60,4,10,5,0.02,931755.06,-0.314272959,1.359700429,9.317550625,118989.06,-0.1180445,1.184391353,1.189890625,0.393838635,0.559125403,0.519368012,0.49077735
90,5,20,5,0.01,933985.94,-0.292557529,1.35293132,9.339859375,115725.08,-0.111891243,1.21640912,1.157250781,0.356525308,0.567128999,0.544421716,0.489358674
30,3,10,5,0.01,240071.75,-0.34821781,0.775976472,2.4007175,120128.22,-0.118614267,1.096228785,1.201282188,0.406861279,0.537087089,0.517048135,0.486998835
90,5,5,5,0.01,572495.9,-0.347002859,1.091393776,5.72495875,115620.51,-0.111890721,1.183119293,1.156205078,0.355329878,0.558807421,0.544423842,0.486187047
90,3,5,10,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,3,20,10,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,3,20,20,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,4,20,5,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,4,20,20,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,5,20,10,0.01,100001.15,-3.28E-06,2.80366221,1.000011484,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,5,20,20,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
60,3,5,10,0.02,99852.21,-0.001714576,-0.487733266,0.998522109,100000,0,,1,0.176758832,0.263058845,1,0.479939226
60,3,20,10,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
60,4,5,20,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
60,5,5,10,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
30,4,10,20,0.02,100000,0,,1,100000,0,,1,0.176758832,0.263058845,1,0.479939226
90,3,20,20,0.01,746971.06,-0.385155419,1.225378755,7.469710625,112112.484,-0.100366443,1.035615086,1.121124844,0.315226738,0.521935265,0.591346288,0.47616943
90,4,10,10,0.02,651001.8,-0.312930353,1.203661254,6.510018125,113954.98,-0.111890713,1.063394123,1.139549766,0.336289802,0.528879291,0.544423876,0.469864323
90,3,20,5,0.02,611510.2,-0.385158925,1.080902315,6.115101875,113775.55,-0.112000831,1.036656044,1.137755469,0.334238592,0.522195477,0.543975515,0.466803194
30,3,10,10,0.01,794672.3,-0.287453751,1.217976833,7.946723125,126670.91,-0.158234333,1.198747382,1.266709063,0.481656194,0.562714031,0.355730404,0.46670021
60,3,10,10,0.02,623667.56,-0.280392965,1.175914073,6.236675625,114473.83,-0.111888529,0.968939433,1.144738281,0.342221227,0.505268113,0.544432768,0.463974036
90,5,5,5,0.02,746944.75,-0.280392882,1.271851759,7.4694475,114717.26,-0.114035823,0.991304262,1.147172578,0.345004074,0.510858729,0.535689806,0.46385087
30,5,5,20,0.02,643612.1,-0.432884658,1.032796343,6.43612125,126909.22,-0.163003052,1.22842757,1.269092188,0.484380543,0.570133294,0.336314007,0.463609281
30,4,5,10,0.02,875236.9,-0.300289743,1.357242849,8.75236875,115817.016,-0.11173952,0.899761788,1.158170156,0.357576323,0.487975528,0.545039475,0.463530442
90,3,20,10,0.01,92383.41,-0.61361254,0.109567352,0.923834063,113653.66,-0.112634671,1.004481953,1.136536563,0.332845158,0.514152804,0.54139476,0.462797574
30,4,20,20,0.01,463547.6,-0.306073121,0.981942145,4.635475938,119308.44,-0.126249459,0.945055688,1.193084375,0.397489677,0.499297807,0.485960559,0.460916014
