TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,4,5,10,0.01,230680.72,-0.339718073,0.77006582,2.306807188,125055.38,-0.152374017,0.840011823,1.250553828,0.388502949,0.676039805,0.775408869,0.613317207
60,3,10,5,0.02,228754.73,-0.338332844,0.768054427,2.287547344,124674.016,-0.151267807,0.835594075,1.246740156,0.386849432,0.674981977,0.777039363,0.612956924
60,3,10,10,0.02,231243.77,-0.341815954,0.76900676,2.312437656,125089.05,-0.153273352,0.837465951,1.250890469,0.388648908,0.675430197,0.774083298,0.612720801
60,4,5,10,0.02,232716.55,-0.34387241,0.769534523,2.327165469,125332.6,-0.154451322,0.838544393,1.253326016,0.389704903,0.675688429,0.772347032,0.612580121
60,4,5,20,0.01,236734.81,-0.350967407,0.769518984,2.367348125,125902.59,-0.158314977,0.837029513,1.259025938,0.392176252,0.675325692,0.766652212,0.611384719
30,3,10,5,0.02,665641.6,-0.445311184,1.102098078,6.65641625,161771.7,-0.30755587,1.054074211,1.617717031,0.547696117,0.727296942,0.546679137,0.607224065
90,4,20,5,0.02,230585.38,-0.342165449,0.774863139,2.30585375,119601.266,-0.152539443,0.721939004,1.196012656,0.364855203,0.647767324,0.77516504,0.595929189
90,3,5,5,0.02,231914.8,-0.344020238,0.775379882,2.319147969,119788.78,-0.153765511,0.722836735,1.197887813,0.365668226,0.647982285,0.773357881,0.595669464
90,4,10,5,0.02,233396.95,-0.346076601,0.775946808,2.333969531,119992.23,-0.155119167,0.723705811,1.199922266,0.366550316,0.648190385,0.771362665,0.595367789
90,4,5,10,0.02,236850.06,-0.351833247,0.776203386,2.368500625,120319.01,-0.158395287,0.721825237,1.203190078,0.367967162,0.647740082,0.76653384,0.594080361
30,3,10,10,0.02,1262231.9,-0.280391929,1.481618752,12.62231875,128480.72,-0.184328424,0.707839993,1.284807188,0.403354385,0.644391322,0.728309787,0.592018498
60,5,5,5,0.01,953441.3,-0.342513473,1.355544514,9.534413125,138396.3,-0.240919097,0.821483029,1.383962969,0.446345956,0.671603094,0.644898168,0.587615739
30,3,10,10,0.01,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
30,5,5,5,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
30,5,10,10,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
30,5,20,10,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
30,5,20,20,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
