TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,,,,
30,3,10,20,0.02,994464.4,-0.291479648,1.374694359,9.94464375,89097.13,-0.356411696,-0.063627191,0.890971328,0.238284788,0.358689303,0.430406495,0.342460195
60,4,5,10,0.02,782511.5,-0.280393048,1.386840192,7.825115,90170.125,-0.36738039,-0.067624542,0.90170125,0.24560427,0.357129333,0.412877057,0.338536886
60,5,10,10,0.02,242514.4,-0.34407606,0.719506626,2.425144063,89791.62,-0.408385667,-0.080879826,0.897916172,0.243022255,0.351956445,0.347345146,0.314107949
60,3,5,10,0.02,369306.38,-0.342045192,0.81896576,3.69306375,85508.69,-0.388764632,-0.167984608,0.855086875,0.213805988,0.317963718,0.378702181,0.303490629
30,4,10,10,0.02,422361.8,-0.391716907,0.851179765,4.223618125,82498.01,-0.431542037,-0.184165676,0.824980078,0.193268451,0.31164904,0.310338172,0.271751888
30,5,20,10,0.02,324908.4,-0.307901407,0.752823969,3.249084063,81135.91,-0.462557063,-0.196100754,0.811359063,0.183976792,0.306991364,0.260772018,0.250580058
30,3,10,5,0.02,1169673.6,-0.280173934,1.459335893,11.69673625,74829.74,-0.420264694,-0.358129152,0.748297422,0.140958906,0.243759622,0.328360873,0.237693134
30,3,5,20,0.02,664166.06,-0.385164877,1.14218499,6.641660625,76456.36,-0.440051972,-0.324506315,0.764563594,0.152054975,0.256880967,0.29673816,0.235224701
30,5,20,5,0.02,954649.8,-0.257122183,1.320312296,9.546498125,75630.9,-0.458150469,-0.360859461,0.756308984,0.146424043,0.242694116,0.267814344,0.218977501
30,5,5,10,0.02,381019.22,-0.35062917,1.02587655,3.810192188,61143.832,-0.523576431,-0.822432053,0.61143832,0.04759963,0.062564956,0.163254916,0.091139834
60,4,5,5,0.02,644492.75,-0.322589297,1.1338566,6.4449275,54166.01,-0.589158942,-0.982751843,0.541660117,0,0,0.058445302,0.019481767
30,4,10,20,0.02,874287.4,-0.39545951,1.275722969,8.74287375,58452.17,-0.625729916,-0.939998018,0.584521719,0.029238305,0.016684722,0,0.015307676
