0,1,2,3,4,5,6,7,8,9,10
1.1827643e-24,0.98288745,4.471489e-19,3.123408e-07,1.15414935e-10,4.3146683e-10,3.827969e-10,0.017112296,5.8750703e-16,1.8952782e-14,2.799243e-19
1.3208396e-24,0.9812247,7.2469635e-19,4.742435e-07,2.0533862e-10,3.578926e-10,8.011817e-10,0.018774774,8.010264e-16,2.8299213e-14,4.4393186e-19
1.5084944e-24,0.9793564,1.2232145e-18,7.3321644e-07,3.748056e-10,2.995241e-10,1.7546032e-09,0.02064283,1.1215662e-15,4.3389974e-14,7.242083e-19
1.7945696e-24,0.9773415,2.0505638e-18,1.118278e-06,6.857354e-10,2.5094155e-10,3.7859236e-09,0.022657372,1.5819763e-15,6.5630064e-14,1.1732442e-18
4.800051e-25,0.98438144,7.427429e-19,8.2268605e-07,2.4771496e-10,9.351798e-11,1.6019027e-09,0.015617709,3.5653703e-16,3.522962e-14,3.1647323e-19
6.378277e-25,0.9829707,1.2382456e-18,1.2390188e-06,4.592699e-10,7.704828e-11,3.3857868e-09,0.017028049,5.040865e-16,5.1907663e-14,5.0648357e-19
9.126043e-25,0.98128086,2.0914263e-18,1.8907556e-06,8.7215285e-10,6.35503e-11,7.302363e-09,0.018717207,7.21107e-16,7.737922e-14,8.224771e-19
1.3876543e-24,0.9792244,3.635022e-18,2.9800055e-06,1.7109899e-09,5.3468306e-11,1.6601087e-08,0.020772588,1.0614064e-15,1.2002618e-13,1.3747235e-18
2.0524496e-24,0.97688967,6.563576e-18,4.813617e-06,3.4627115e-09,4.4618875e-11,3.9721257e-08,0.02310555,1.5816069e-15,1.9204526e-13,2.3664932e-18
2.8972599e-24,0.9741629,1.2333741e-17,8.036459e-06,7.3419573e-09,3.6578195e-11,1.0156546e-07,0.025828985,2.3937647e-15,3.1965373e-13,4.2190244e-18
3.817198e-24,0.9708853,2.4024667e-17,1.3862921e-05,1.6574385e-08,2.918611e-11,2.8063727e-07,0.029100472,3.7254343e-15,5.542603e-13,7.785101e-18
4.7380497e-24,0.9668259,4.742044e-17,2.4633478e-05,3.9198696e-08,2.3184945e-11,8.20169e-07,0.033148654,5.9595586e-15,9.996052e-13,1.4532763e-17
5.616361e-24,0.9618333,9.62354e-17,4.5757733e-05,9.6846065e-08,1.825166e-11,2.5686652e-06,0.03811834,9.691778e-15,1.89132e-12,2.7702423e-17
6.685201e-24,0.9555639,2.057765e-16,8.926511e-05,2.5485062e-07,1.4196075e-11,8.815647e-06,0.044337757,1.630665e-14,3.778037e-12,5.5334998e-17
1.198476e-24,0.9657219,1.2448831e-16,0.00011673717,2.0999938e-07,3.2515767e-12,8.346964e-06,0.03415286,5.255952e-15,2.810079e-12,2.2958904e-17
1.516363e-24,0.95845896,3.18781e-16,0.00025486367,7.0632495e-07,2.443354e-12,3.7279293e-05,0.041248266,1.0448126e-14,6.339367e-12,5.4566753e-17
1.917915e-24,0.94829726,8.7712856e-16,0.0005823124,2.5708277e-06,1.8001554e-12,0.00018446142,0.050933428,2.1697645e-14,1.5009518e-11,1.3826299e-16
2.3774386e-24,0.9341924,2.5775289e-15,0.0013874662,1.0099962e-05,1.3065366e-12,0.0010250065,0.06338492,4.7156157e-14,3.7504975e-11,3.6984105e-16
2.8314872e-24,0.91182154,7.656667e-15,0.0033510497,4.0703257e-05,9.240946e-13,0.0058808043,0.07890581,1.0284308e-13,9.482969e-11,1.0013484e-15
3.125928e-24,0.86003673,2.2139556e-14,0.008110848,0.00016822167,6.3487724e-13,0.035093226,0.09659104,2.2677955e-13,2.4287924e-10,2.6816252e-15
2.8449772e-24,0.6752265,5.7338696e-14,0.017586397,0.00064637256,3.665355e-13,0.20523134,0.10130934,4.5054466e-13,5.697546e-10,6.4107464e-15
1.4649648e-24,0.30848363,8.474539e-14,0.020117633,0.0012702554,1.4081523e-13,0.6070398,0.06308866,5.2062673e-13,7.092137e-10,8.70026e-15
5.41643e-25,0.108964235,7.068992e-14,0.014301723,0.0012354414,4.289671e-14,0.84652287,0.028975703,3.3433247e-13,5.074676e-10,6.7112292e-15
2.1017498e-25,0.040947024,5.3054898e-14,0.008888243,0.0010291636,1.4629318e-14,0.9361616,0.012973921,2.1179278e-13,3.2649292e-10,4.7651693e-15
1.9158646e-27,0.009977071,6.2829465e-15,0.0019187477,0.0005066479,8.6397154e-16,0.9840965,0.0035009722,1.9828298e-14,5.420218e-11,5.147667e-16
1.644565e-27,0.009204059,5.7534594e-15,0.0018352272,0.00049104216,7.966947e-16,0.9851574,0.003312346,1.9968226e-14,5.0833317e-11,4.72008e-16
1.5616342e-27,0.008740659,5.330139e-15,0.0017895909,0.00048288342,7.467852e-16,0.9857847,0.0032021909,2.0427834e-14,4.8511018e-11,4.384266e-16
1.4078064e-27,0.0083040325,4.9126323e-15,0.0017470125,0.00047198113,7.000631e-16,0.9863776,0.0030993111,2.078907e-14,4.6473478e-11,4.067574e-16
1.2024832e-27,0.007890571,4.5141346e-15,0.0017088398,0.00045808946,6.5782294e-16,0.98694056,0.0030018198,2.1038142e-14,4.4701045e-11,3.7619137e-16
9.755416e-28,0.007521406,4.133394e-15,0.0016729536,0.00044245232,6.1936055e-16,0.9874462,0.0029170013,2.1160787e-14,4.3285805e-11,3.473423e-16
7.294979e-28,0.0072145388,3.7757417e-15,0.0016487736,0.00042621777,5.8450366e-16,0.9878548,0.0028557125,2.1108339e-14,4.236777e-11,3.2177686e-16
5.339404e-28,0.006956497,3.4654121e-15,0.0016372422,0.00041152546,5.534859e-16,0.9881832,0.002811644,2.0986471e-14,4.178101e-11,3.0024165e-16
3.8068365e-28,0.0067405296,3.2013729e-15,0.0016337646,0.00039921064,5.27835e-16,0.9884418,0.002784656,2.0868607e-14,4.1399544e-11,2.82029e-16
2.6618297e-28,0.006570006,2.9785814e-15,0.0016424059,0.00038952712,5.060535e-16,0.9886186,0.0027794333,2.075396e-14,4.1348387e-11,2.680708e-16
