date,TTM Net Income (Billions),Shareholder's Equity (Billion),Return on Equity(%),ticker
30/6/2018,12.11,153.38,8.04,CVX
31/3/2018,10.15,151.57,6.81,CVX
31/12/2017,9.2,149.32,6.21,CVX
30/9/2017,6.5,147.91,4.41,CVX
30/6/2017,5.83,147.39,3.95,CVX
31/3/2017,2.91,147.79,1.97,CVX
31/12/2016,-0.5,146.72,-0.33,CVX
30/9/2016,-1.5,147.95,-1,CVX
30/6/2016,-0.75,148.33,-0.49,CVX
31/3/2016,1.3,151.48,0.84,CVX
31/12/2015,4.59,153.89,2.95,CVX
30/9/2015,8.65,155.94,5.53,CVX
30/6/2015,12.2,155.89,7.79,CVX
31/3/2015,17.3,157,11.07,CVX
31/12/2014,19.24,156.19,12.41,CVX
30/9/2014,20.7,157.31,13.48,CVX
30/6/2014,20.06,154.75,13.3,CVX
31/3/2014,19.76,151.81,13.34,CVX
31/12/2013,21.42,150.43,14.72,CVX
30/9/2013,23.74,146.07,16.67,CVX
30/6/2013,24.04,144.16,17.24,CVX
31/3/2013,25.89,141.49,19,CVX
31/12/2012,26.18,137.83,19.77,CVX
30/9/2012,24.06,134.22,18.72,CVX
30/6/2012,26.63,131.29,21.24,CVX
31/3/2012,27.16,126.33,22.32,CVX
31/12/2011,26.9,122.18,22.83,CVX
30/9/2011,27.07,121.68,23.81,CVX
30/6/2011,23.01,116.43,21.1,CVX
31/3/2011,20.68,110.85,19.7,CVX
31/12/2010,19.02,105.81,18.78,CVX
30/9/2010,16.8,102.97,17.15,CVX
30/6/2010,16.86,100.29,17.74,CVX
31/3/2010,13.2,96.05,14.33,CVX
31/12/2009,10.48,92.56,11.65,CVX
30/6/2024,10.57,119.46,8.95,GS
31/3/2024,8.75,118.55,7.46,GS
31/12/2023,7.91,116.91,6.76,GS
30/9/2023,7.23,117.28,6.17,GS
30/6/2023,8.31,116.49,7.06,GS
31/3/2023,10.02,117.51,8.49,GS
31/12/2022,10.76,117.19,9.17,GS
30/9/2022,13.39,119.29,11.58,GS
30/6/2022,15.71,117.87,13.99,GS
31/3/2022,18.27,115.24,16.86,GS
31/12/2021,21.15,109.93,20.35,GS
30/9/2021,21.7,106.3,21.61,GS
30/6/2021,19.65,101.89,20.25,GS
31/3/2021,14.5,97.66,15.42,GS
31/12/2020,8.92,95.93,9.61,GS
30/9/2020,6.28,92.65,6.87,GS
30/6/2020,4.84,90.03,5.31,GS
31/3/2020,6.84,92.38,7.48,GS
31/12/2019,7.9,90.27,8.69,GS
30/9/2019,8.5,92.01,9.35,GS
30/6/2019,9.16,90.89,10.23,GS
31/3/2019,9.31,90.27,10.52,GS
31/12/2018,9.86,90.19,11.36,GS
30/9/2018,5.4,86.76,6.36,GS
30/6/2018,4.98,86.6,5.88,GS
31/3/2018,4.26,83.58,5.03,GS
31/12/2017,3.69,82.24,4.31,GS
30/9/2017,7.98,86.29,9.21,GS
30/6/2017,8.05,86.68,9.26,GS
31/3/2017,8.05,86.92,9.27,GS
31/12/2016,7.09,86.89,8.16,GS
30/9/2016,5.51,87.11,6.35,GS
30/6/2016,4.74,86.51,5.45,GS
31/3/2016,4.02,86.84,4.61,GS
31/12/2015,5.57,86.73,6.41,GS
30/9/2015,7.03,87.7,8.19,GS
30/6/2015,7.84,87.65,9.28,GS
31/3/2015,8.88,85.13,10.7,GS
31/12/2014,8.08,82.8,9.92,GS
30/9/2014,8.29,82.28,10.32,GS
30/6/2014,7.58,81.63,9.57,GS
31/3/2014,7.49,79.1,9.56,GS
31/12/2013,7.73,78.47,9.93,GS
30/9/2013,8.31,77.62,10.77,GS
30/6/2013,8.34,78.04,10.95,GS
31/3/2013,7.41,77.23,9.89,GS
31/12/2012,7.29,75.72,9.92,GS
30/9/2012,5.44,73.69,7.54,GS
30/6/2012,3.55,72.86,4.98,GS
31/3/2012,3.68,71.66,5.17,GS
31/12/2011,2.51,70.38,3.52,GS
30/9/2011,3.76,70.09,5.14,GS
30/6/2011,5.92,72.36,7.96,GS
31/3/2011,5.33,72.47,7.12,GS
31/12/2010,7.71,77.36,10.29,GS
30/9/2010,10.27,75.66,14.02,GS
30/6/2010,11.56,73.82,16.35,GS
31/3/2010,13.83,72.94,20.35,GS
31/12/2009,12.19,70.71,18.58,GS
30/6/2024,38.02,71.54,54.01,JNJ
31/3/2024,38.48,70.02,53.73,JNJ
31/12/2023,35.15,68.77,48.95,JNJ
30/9/2023,34.62,71.23,46.9,JNJ
30/6/2023,13.05,76.41,17.48,JNJ
31/3/2023,12.72,70.87,17.04,JNJ
31/12/2022,17.94,76.8,23.73,JNJ
30/9/2022,19.16,74.6,25.57,JNJ
30/6/2022,18.37,76.36,24.87,JNJ
31/3/2022,19.83,74.71,27.49,JNJ
31/12/2021,20.88,74.02,29.86,JNJ
30/9/2021,17.88,70.27,26.59,JNJ
30/6/2021,17.77,69.58,27.01,JNJ
31/3/2021,15.12,65.83,23.57,JNJ
31/12/2020,14.71,63.28,23.35,JNJ
30/9/2020,16.99,64.47,27.37,JNJ
30/6/2020,15.19,62.98,25.1,JNJ
31/3/2020,17.17,61.29,28.64,JNJ
31/12/2019,15.12,59.47,25.47,JNJ
30/9/2019,14.15,58.21,23.81,JNJ
30/6/2019,16.33,60.79,26.76,JNJ
31/3/2019,14.68,58.96,23.85,JNJ
31/12/2018,15.3,59.75,24.42,JNJ
30/9/2018,1.54,64.63,2.46,JNJ
30/6/2018,1.37,62.89,2.11,JNJ
31/3/2018,1.25,63.26,1.85,JNJ
31/12/2017,1.3,60.16,1.88,JNJ
30/9/2017,15.83,73.98,22.08,JNJ
30/6/2017,16.34,71.92,22.89,JNJ
31/3/2017,16.51,70.34,23.08,JNJ
31/12/2016,16.54,70.42,22.95,JNJ
30/9/2016,15.94,72.77,22.06,JNJ
30/6/2016,15.03,72.47,20.88,JNJ
31/3/2016,15.55,72.65,21.71,JNJ
31/12/2015,15.41,71.15,21.88,JNJ
30/9/2015,14.72,71.55,21,JNJ
30/6/2015,16.11,71.13,22.58,JNJ
31/3/2015,15.92,67.88,21.78,JNJ
31/12/2014,16.32,69.75,21.69,JNJ
30/9/2014,17.32,76.59,22.7,JNJ
30/6/2014,15.55,78.05,20.84,JNJ
31/3/2014,15.06,76.58,20.77,JNJ
31/12/2013,13.83,74.05,19.73,JNJ
30/9/2013,12.88,69.8,19,JNJ
30/6/2013,12.87,69.67,19.41,JNJ
31/3/2013,10.44,66.86,16.32,JNJ
31/12/2012,10.85,64.83,17.34,JNJ
30/9/2012,8.5,63.76,14.02,JNJ
30/6/2012,8.74,60.43,14.54,JNJ
31/3/2012,10.11,61.37,16.7,JNJ
31/12/2011,9.67,57.08,16.08,JNJ
30/9/2011,11.4,61.53,18.99,JNJ
30/6/2011,11.61,62.13,19.69,JNJ
31/3/2011,12.28,59.86,21.69,JNJ
31/12/2010,13.33,56.58,24.28,JNJ
30/9/2010,13.6,57.29,25.46,JNJ
30/6/2010,13.53,52.85,26.17,JNJ
31/3/2010,13.29,52.91,26.55,JNJ
31/12/2009,12.27,50.59,25.69,JNJ
