Date,Company,Stock Price,Net EPS,PE Ratio
30/9/2012,JNJ,49.72,3.04,16.35
30/6/2012,JNJ,48.31,3.14,15.38
31/3/2012,JNJ,46.71,3.64,12.83
31/12/2011,JNJ,46.04,3.48,13.23
30/9/2011,JNJ,44.3,4.1,10.8
30/6/2011,JNJ,45.86,4.18,10.97
31/3/2011,JNJ,40.49,4.41,9.18
31/12/2010,JNJ,41.89,4.78,8.76
30/9/2010,JNJ,41.61,4.87,8.54
30/6/2010,JNJ,39.29,4.84,8.12
31/3/2010,JNJ,42.98,4.76,9.03
31/12/2009,JNJ,42.14,4.4,9.58
27/9/2024,JPM,210.5,,11.74
30/6/2024,JPM,201.13,17.93,11.22
31/3/2024,JPM,198.02,16.56,11.96
31/12/2023,JPM,167.14,16.22,10.3
30/9/2023,JPM,141.46,16.75,8.45
30/6/2023,JPM,140.89,15.54,9.07
31/3/2023,JPM,125.25,13.55,9.24
31/12/2022,JPM,127.95,12.08,10.59
30/9/2022,JPM,98.81,11.84,8.35
30/6/2022,JPM,105.54,12.46,8.47
31/3/2022,JPM,126.82,13.48,9.41
31/12/2021,JPM,146.42,15.35,9.54
30/9/2021,JPM,150.46,15.81,9.52
30/6/2021,JPM,142.15,14.99,9.48
31/3/2021,JPM,138.31,12.59,10.99
31/12/2020,JPM,114.63,8.87,12.92
30/9/2020,JPM,86.07,7.65,11.25
30/6/2020,JPM,83.28,7.41,11.24
31/3/2020,JPM,78.87,8.85,8.91
31/12/2019,JPM,121.33,10.72,11.32
30/9/2019,JPM,101.62,10.13,10.03
30/6/2019,JPM,95.85,9.79,9.79
31/3/2019,JPM,86.14,9.26,9.3
31/12/2018,JPM,82.39,8.98,9.17
30/9/2018,JPM,94.57,8.07,11.72
30/6/2018,JPM,86.86,7.49,11.6
31/3/2018,JPM,91.22,7.02,12.99
31/12/2017,JPM,88.25,6.3,14.01
30/9/2017,JPM,78.37,6.94,11.29
30/6/2017,JPM,74.59,6.76,11.03
31/3/2017,JPM,71.28,6.49,10.98
31/12/2016,JPM,69.64,6.19,11.25
30/9/2016,JPM,53.35,5.8,9.2
30/6/2016,JPM,49.4,5.9,8.37
31/3/2016,JPM,46.73,5.89,7.93
31/12/2015,JPM,51.75,5.99,8.64
30/9/2015,JPM,47.44,5.86,8.1
30/6/2015,JPM,52.38,5.54,9.46
31/3/2015,JPM,46.52,5.46,8.52
31/12/2014,JPM,47.75,5.31,8.99
30/9/2014,JPM,45.66,3.95,11.56
30/6/2014,JPM,43.37,4.19,10.35
31/3/2014,JPM,45.41,5.2,8.73
31/12/2013,JPM,43.46,4.32,10.06
30/9/2013,JPM,38.14,4.41,8.65
30/6/2013,JPM,38.67,5.86,6.6
31/3/2013,JPM,34.54,5.66,6.1
31/12/2012,JPM,31.79,5.28,6.02
30/9/2012,JPM,29.05,4.82,6.03
30/6/2012,JPM,25.43,4.44,5.73
31/3/2012,JPM,32.51,4.5,7.22
