TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative
100,4,5,10,0.01,1487704.2,-0.43713632467595276,1.1415018843805613,14.8770425,145240.81,-0.25355159763856683,0.9048535577347363,1.452408125
100,4,5,10,0.02,773140.4,-0.28039242558954824,0.9363081736866299,7.73140375,102686.12,-0.3068802178630881,0.19799544362537533,1.026861171875
100,4,5,20,0.01,536749.7,-0.2736842724133807,0.824978319188546,5.367496875,96536.55,-0.3719555845318775,0.0783201498853532,0.96536546875
100,4,5,20,0.02,367649.88,-0.3531797098020501,0.8347350496206988,3.67649875,117420.25,-0.16105973322636405,0.6461906389434198,1.1742025
100,4,10,5,0.01,353868.06,-0.34461750269638736,0.8334299099805715,3.538680625,116841.91,-0.1557129831273517,0.6451097583268102,1.1684190625
100,4,10,5,0.02,1397076.1,-0.38515950673361493,1.1040164927670577,13.97076125,110753.03,-0.29786458776941444,0.3618738495178591,1.1075303125
100,4,10,10,0.01,2163149.2,-0.38515929910196256,1.2709699255978235,21.6314925,175165.42,-0.20508731199077032,1.2835515171353036,1.75165421875
100,4,10,10,0.02,1422319.8,-0.43797192981154887,1.151650988972736,14.2231975,96809.336,-0.36840359544931195,0.08359455452097458,0.968093359375
100,4,10,20,0.01,1066207.0,-0.38766958190730716,0.9723196938894736,10.66207,118419.99,-0.2845433465046157,0.5195993199624699,1.184199921875
100,4,10,20,0.02,444614.0,-0.6094884383306707,0.7054659824487609,4.44614,99635.07,-0.2866670443276036,0.1476797235271148,0.996350703125
100,4,20,5,0.01,1829197.2,-0.38515903132532947,1.2265701725310028,18.2919725,190586.34,-0.20508590346432565,1.4417978745337687,1.9058634375
100,4,20,5,0.02,1849650.8,-0.38515914291658,1.2625900324402943,18.4965075,111203.81,-0.30389551616445537,0.36998967064851435,1.112038125
100,4,20,10,0.01,1839955.4,-0.43793760142242355,1.231171921855198,18.39955375,96587.08,-0.37147936840599155,0.07940642771257968,0.96587078125
100,4,20,10,0.02,1503821.2,-0.4379714907542755,1.1342156357104174,15.0382125,134954.3,-0.2909527808832316,0.7625998272468487,1.34954296875
100,4,20,20,0.01,932411.44,-0.43761345086952474,0.9963451723916807,9.324114375,165533.73,-0.20920932874535722,1.2384863109830995,1.65533734375
100,4,20,20,0.02,1118635.9,-0.3941686580554512,1.0315775724907632,11.18635875,153698.03,-0.31034845858574334,1.0084323794552403,1.5369803125
100,5,5,5,0.01,355518.97,-0.3456471025370224,0.833600642155837,3.5551896875,116914.57,-0.1563621056507623,0.6453119746549519,1.169145703125
