date,returns,rewards,portfolio_values
2016-11-11,0.005451560020446777,-1745.262721403709,136038.625
2016-11-14,-0.015249252319335938,-1744.2087433263855,133964.140625
2016-11-15,0.019747138023376465,-1742.9860820084334,136609.546875
2016-11-16,0.013249635696411133,-1741.7238313556018,138419.578125
2016-11-17,0.016596674919128418,-1740.4204459519872,140716.875
2016-11-18,-0.004782438278198242,-1739.139012822034,140043.90625
2016-11-21,0.008450746536254883,-1737.8339869496792,141227.375
2016-11-22,0.004271864891052246,-1736.5404919877114,141830.671875
2016-11-23,-0.011779367923736572,-1735.2636655574706,140160.0
2016-11-25,0.002152085304260254,-1733.9714910747282,140461.640625
2016-11-28,0.001318812370300293,-1732.6880075559088,140646.875
2016-11-29,0.007919073104858398,-1731.400491263581,141760.671875
2016-11-30,-0.013583838939666748,-1730.1420386328625,139835.015625
2016-12-01,-0.017556607723236084,-1728.9388944677614,137379.984375
2016-12-02,0.0008405447006225586,-1727.7229873420895,137495.453125
2016-12-05,0.01637089252471924,-1726.4554801980355,139746.375
2016-12-06,-0.004469811916351318,-1725.2199318309767,139121.734375
2016-12-07,0.02365398406982422,-1723.9417193261568,142412.515625
2016-12-08,-0.005857408046722412,-1722.6915828176568,141578.34375
2016-12-09,0.015609502792358398,-1721.4406892517554,143788.3125
2016-12-12,0.0031627416610717773,-1720.2189926459164,144243.078125
2016-12-13,0.012981414794921875,-1719.0468297942618,146115.5625
2016-12-14,-0.0047678351402282715,-1717.8657763069855,145418.90625
2016-12-15,-0.0012153387069702148,-1716.6708711804413,145242.171875
2016-12-16,-0.004894852638244629,-1715.4619578261381,144531.234375
2016-12-19,0.013958454132080078,-1714.3124183489563,146548.671875
2016-12-20,0.006186008453369141,-1713.220091990383,147455.21875
2016-12-21,0.0006613731384277344,-1712.1335940668184,147552.75
2016-12-22,0.0011315345764160156,-1711.054659637283,147719.703125
2016-12-23,0.0018187761306762695,-1709.9917901173424,147988.375
2016-12-27,0.0009305477142333984,-1708.939109488981,148126.078125
2016-12-28,-0.007191717624664307,-1707.8382233908703,147060.796875
2016-12-29,-0.007177114486694336,-1706.6916784798823,146005.328125
2016-12-30,0.00462186336517334,-1705.56832321916,146680.140625
2017-01-03,0.010806918144226074,-1704.527779524014,148265.296875
2017-01-04,0.0020121335983276367,-1703.51347552102,148563.625
2017-01-05,-0.010324299335479736,-1702.4236062051357,147029.8125
2017-01-06,0.005242347717285156,-1701.359044236685,147800.59375
2017-01-09,-0.009005188941955566,-1700.2503351599257,146469.625
2017-01-10,-0.002024710178375244,-1699.1216226189508,146173.0625
2017-01-11,0.013097286224365234,-1698.0783696293065,148087.53125
2017-01-12,-0.007819712162017822,-1696.998603360441,146929.53125
2017-01-13,0.0018923282623291016,-1695.918069132335,147207.5625
2017-01-17,-0.03504842519760132,-1694.7369477349491,142048.171875
2017-01-18,-0.006147444248199463,-1693.5257482777831,141174.9375
2017-01-19,-0.012293815612792969,-1692.354795848176,139439.359375
2017-01-20,0.003413558006286621,-1691.1673527600378,139915.34375
2017-01-23,0.002023935317993164,-1689.9870978733925,140198.53125
2017-01-24,0.0043408870697021484,-1688.801481713683,140807.109375
2017-01-25,0.015277266502380371,-1687.617589554746,142958.25
2017-01-26,0.009820699691772461,-1686.467277597925,144362.203125
2017-01-27,-0.01097726821899414,-1685.3023461276503,142777.5
2017-01-30,-0.012871861457824707,-1684.127888770232,140939.6875
2017-01-31,-0.019581079483032227,-1683.006975600514,138179.9375
2017-02-01,0.005887031555175781,-1681.8513006298554,138993.40625
2017-02-02,-0.0011273026466369629,-1680.7178108752548,138836.71875
2017-02-03,0.04574382305145264,-1679.5774235551614,145187.640625
2017-02-06,-0.004028618335723877,-1678.471567905656,144602.734375
2017-02-07,-0.001499772071838379,-1677.3370738865303,144385.859375
2017-02-08,-0.007888376712799072,-1676.1894006314851,143246.890625
2017-02-09,0.01606583595275879,-1675.0801609225352,145548.265625
2017-02-10,0.004841208457946777,-1674.0149511202446,146252.890625
2017-02-13,0.014621734619140625,-1673.040045285184,148391.359375
2017-02-14,0.012940049171447754,-1672.1928649426832,150311.546875
2017-02-15,0.005866050720214844,-1671.414732124371,151193.28125
2017-02-16,-0.002129852771759033,-1670.613317520631,150871.265625
2017-02-17,-0.0033029913902282715,-1669.7731802580904,150372.9375
2017-02-21,0.00862574577331543,-1669.0257996441596,151670.015625
2017-02-22,0.000548243522644043,-1668.2957597802688,151753.171875
2017-02-23,0.0007681846618652344,-1667.5716932917157,151869.75
2017-02-24,-0.008778810501098633,-1666.7508071384748,150536.515625
2017-02-27,0.0011070966720581055,-1665.9331401693616,150703.171875
2017-02-28,0.0021009445190429688,-1665.1441652947926,151019.796875
2017-03-01,0.03288447856903076,-1664.8125244623945,155986.0
2017-03-02,-0.015598475933074951,-1664.263603704063,153552.859375
2017-03-03,0.007163405418395996,-1663.7881883011983,154652.828125
2017-03-06,-0.009482741355895996,-1663.188795924919,153186.296875
2017-03-07,-0.005548298358917236,-1662.5043816021227,152336.375
2017-03-08,-0.002187788486480713,-1661.7929837364063,152003.09375
2017-03-09,0.003946781158447266,-1661.131009639577,152603.015625
2017-03-10,-0.0031669139862060547,-1660.4352760813406,152119.734375
2017-03-13,0.0008765459060668945,-1659.7454312232442,152253.078125
2017-03-14,0.0016418695449829102,-1659.0786121232468,152503.0625
2017-03-15,0.0024040937423706055,-1658.4437113188405,152869.6875
2017-03-16,-0.000981152057647705,-1657.7980388945782,152719.703125
2017-03-17,-0.010476112365722656,-1657.0283010498827,151119.796875
2017-03-20,-0.007167816162109375,-1656.1785710632512,150036.59375
2017-03-21,-0.029323577880859375,-1655.138145416586,145636.984375
2017-03-22,0.0016020536422729492,-1654.0798997904506,145870.296875
2017-03-23,-0.001599431037902832,-1653.0338616570673,145636.984375
2017-03-24,-0.0011443495750427246,-1651.9833075249712,145470.328125
2017-03-27,-0.0005729198455810547,-1650.932442164502,145386.984375
2017-03-28,0.015589356422424316,-1649.95658044234,147653.46875
2017-03-29,-0.0037251710891723633,-1648.9767304632367,147103.4375
2017-03-30,0.008610248565673828,-1648.0400871659751,148370.03125
2017-03-31,-0.013366520404815674,-1647.038361334468,146386.84375
2017-04-03,-0.0036431550979614258,-1646.005472822806,145853.53125
2017-04-04,0.003332853317260742,-1644.9913844578089,146339.640625
2017-04-05,-0.012827515602111816,-1643.9414350775287,144462.46875
2017-04-06,0.0033649206161499023,-1642.887360072974,144948.578125
2017-04-07,-0.003469526767730713,-1641.8364643313187,144445.671875
2017-04-10,-0.003480970859527588,-1640.7758699815743,143942.859375
2017-04-11,-0.0017465949058532715,-1639.7130579702125,143691.453125
2017-04-12,-0.0038490891456604004,-1638.648537171968,143138.375
2017-04-13,-0.011709809303283691,-1637.586603545836,141462.25
2017-04-17,0.017298460006713867,-1636.5192877395125,143909.328125
2017-04-18,-0.008152604103088379,-1635.4700208118911,142736.09375
2017-04-19,-0.008219718933105469,-1634.4099154012188,141562.84375
2017-04-20,0.012905597686767578,-1633.346394627275,143389.796875
2017-04-21,-0.01204007863998413,-1632.3024357021554,141663.375
2017-04-24,0.03525805473327637,-1631.3049738586844,146658.15625
2017-04-25,0.008685588836669922,-1630.3978755834075,147931.96875
2017-04-26,0.0019261837005615234,-1629.495873657803,148216.90625
2017-04-27,-0.00927281379699707,-1628.5391806690434,146842.515625
2017-04-28,-0.006962716579437256,-1627.5437071064407,145820.09375
2017-05-01,0.0006898641586303711,-1626.550316309651,145920.6875
2017-05-02,-0.00643235445022583,-1625.5418004456615,144982.078125
2017-05-03,0.0057801008224487305,-1624.5468368497786,145820.09375
2017-05-04,0.0011494159698486328,-1623.5670089472515,145987.703125
2017-05-05,-0.001148223876953125,-1622.5828760081115,145820.078125
2017-05-08,0.0011494159698486328,-1621.6031326216978,145987.6875
2017-05-09,-0.004018187522888184,-1620.61272189741,145401.078125
2017-05-10,0.007838606834411621,-1619.6494349607797,146540.8125
2017-05-11,-0.003088533878326416,-1618.6845904506279,146088.21875
2017-05-12,-0.0027534961700439453,-1617.7042322690043,145685.96875
2017-05-15,0.004832148551940918,-1616.7431544141186,146389.9375
2017-05-16,0.0030913352966308594,-1615.8040240370271,146842.484375
2017-05-17,-0.03812342882156372,-1614.806377611972,141244.34375
2017-05-18,-0.003679037094116211,-1613.7774430726608,140724.703125
2017-05-19,0.009766817092895508,-1612.7525290981973,142099.140625
2017-05-22,-0.0009433627128601074,-1611.74178172541,141965.09375
2017-05-23,0.012514829635620117,-1610.7298091364326,143741.765625
2017-05-24,-0.0005832910537719727,-1609.7319816375157,143657.921875
2017-05-25,-0.004200279712677002,-1608.7259435682097,143054.515625
2017-05-26,0.00011742115020751953,-1607.7179344923795,143071.3125
2017-05-30,-0.01710420846939087,-1606.7296256978739,140624.1875
2017-05-31,-0.02085787057876587,-1605.8060856770794,137691.0625
2017-06-01,0.011077046394348145,-1604.8217499425732,139216.265625
2017-06-02,-0.005056202411651611,-1603.881470597756,138512.359375
2017-06-05,0.0018146038055419922,-1602.924426054576,138763.703125
2017-06-06,0.002053499221801758,-1601.965127605357,139048.65625
2017-06-07,0.011451244354248047,-1600.9740318366069,140640.9375
2017-06-08,0.012392520904541016,-1599.9798286685175,142383.828125
2017-06-09,0.023562908172607422,-1599.030974093421,145738.796875
2017-06-12,-0.0029471516609191895,-1598.0914454146255,145309.28125
2017-06-13,0.008619904518127441,-1597.1708186867884,146561.828125
2017-06-14,-0.0054018497467041016,-1596.2403066024929,145770.125
2017-06-15,-0.005267083644866943,-1595.2855352518577,145002.34375
2017-06-16,-0.006544709205627441,-1594.3162290969733,144053.34375
2017-06-19,0.020479440689086914,-1593.4099415785865,147003.46875
2017-06-20,-0.006340324878692627,-1592.50096737123,146071.421875
2017-06-21,-0.004473090171813965,-1591.5615822609805,145418.03125
2017-06-22,-0.0011672377586364746,-1590.6190771819438,145248.296875
2017-06-23,-0.001681685447692871,-1589.6747135671264,145004.03125
2017-06-26,0.003504157066345215,-1588.740977408848,145512.15625
2017-06-27,0.003732442855834961,-1587.8261260878392,146055.265625
2017-06-28,0.011257171630859375,-1586.9676537774985,147699.4375
2017-06-29,-0.016799509525299072,-1586.0482721984788,145218.15625
2017-06-30,-0.001723170280456543,-1585.1034683017665,144967.921875
2017-07-03,0.020349979400634766,-1584.2514519805193,147918.015625
2017-07-05,0.010026931762695312,-1583.4894177119106,149401.1875
2017-07-06,-0.003202676773071289,-1582.7046797079352,148922.703125
2017-07-07,0.005033731460571289,-1581.9505208545927,149672.34375
2017-07-10,-0.00702589750289917,-1581.152419222192,148620.765625
2017-07-11,-0.0038704872131347656,-1580.3213802480398,148045.53125
2017-07-12,-0.0016097426414489746,-1579.4818402348792,147807.21875
2017-07-13,0.005803942680358887,-1578.6797540099826,148665.078125
2017-07-14,0.00784158706665039,-1577.9430049698983,149830.84375
2017-07-17,0.006889700889587402,-1577.271633753318,150863.140625
2017-07-18,-0.0006982684135437012,-1576.5974550287465,150757.796875
2017-07-19,0.00748443603515625,-1575.9930034794784,151886.140625
2017-07-20,0.003605484962463379,-1575.435684413428,152433.765625
2017-07-21,-0.006394386291503906,-1574.8108856375331,151459.046875
2017-07-24,0.001651763916015625,-1574.195004044025,151709.21875
2017-07-25,0.016394495964050293,-1573.77506930179,154196.421875
2017-07-26,-0.009354829788208008,-1573.2542016449627,152753.9375
2017-07-27,-0.0041498541831970215,-1572.6700116401776,152120.03125
2017-07-28,-0.002950906753540039,-1572.056077070945,151671.140625
2017-07-31,0.005634665489196777,-1571.5011680934565,152525.75
