date,pound_dollar_exchange_rate
2017-03-07,1.22
2017-03-08,1.2168
2017-03-09,1.2165
2017-03-10,1.2167
2017-03-13,1.2219
2017-03-14,1.2153
2017-03-15,1.2291
2017-03-16,1.236
2017-03-17,1.2396
2017-03-20,1.2358
2017-03-21,1.2478
2017-03-22,1.2485
2017-03-23,1.2521
2017-03-24,1.2473
2017-03-27,1.2559
2017-03-28,1.245
2017-03-29,1.2434
2017-03-30,1.2468
2017-03-31,1.255
2017-04-03,1.2486
2017-04-04,1.244
2017-04-05,1.2483
2017-04-06,1.247
2017-04-07,1.2371
2017-04-10,1.2415
2017-04-11,1.2491
2017-04-12,1.254
2017-04-13,1.2503
2017-04-14,1.2523
2017-04-17,1.2565
2017-04-18,1.2841
2017-04-19,1.2777
2017-04-20,1.2813
2017-04-21,1.2817
2017-04-24,1.2796
2017-04-25,1.2842
2017-04-26,1.2848
2017-04-27,1.2904
2017-04-28,1.2951
2017-05-01,1.2886
2017-05-02,1.2939
2017-05-03,1.2867
2017-05-04,1.2923
2017-05-05,1.2982
2017-05-08,1.294
2017-05-09,1.2934
2017-05-10,1.2938
2017-05-11,1.2886
2017-05-12,1.289
2017-05-15,1.2896
2017-05-16,1.2917
2017-05-17,1.297
2017-05-18,1.2938
2017-05-19,1.3036
2017-05-22,1.3
2017-05-23,1.2961
2017-05-24,1.2972
2017-05-25,1.2942
2017-05-26,1.2804
2017-05-29,1.284
2017-05-30,1.2859
2017-05-31,1.289
2017-06-01,1.2882
2017-06-02,1.2888
2017-06-05,1.2904
2017-06-06,1.2911
2017-06-07,1.296
2017-06-08,1.2956
2017-06-09,1.2746
2017-06-12,1.2659
2017-06-13,1.2754
2017-06-14,1.2751
2017-06-15,1.2758
2017-06-16,1.2783
2017-06-19,1.2737
2017-06-20,1.2629
2017-06-21,1.2671
2017-06-22,1.2682
2017-06-23,1.2718
2017-06-26,1.2723
2017-06-27,1.2814
2017-06-28,1.2926
2017-06-29,1.3007
2017-06-30,1.3025
2017-07-03,1.294
2017-07-04,1.292
2017-07-05,1.2934
2017-07-06,1.2971
2017-07-07,1.289
2017-07-10,1.2881
2017-07-11,1.2848
2017-07-12,1.2885
2017-07-13,1.2939
2017-07-14,1.3098
2017-07-17,1.3055
2017-07-18,1.304
2017-07-19,1.3022
2017-07-20,1.2973
2017-07-21,1.2997
2017-07-24,1.3028
2017-07-25,1.3025
2017-07-26,1.3122
2017-07-27,1.3066
2017-07-28,1.3136
2017-07-31,1.3215
2017-08-01,1.3203
2017-08-02,1.3223
2017-08-03,1.3138
2017-08-04,1.304
2017-08-07,1.3035
2017-08-08,1.2992
2017-08-09,1.3004
2017-08-10,1.2977
2017-08-11,1.3014
2017-08-14,1.2964
2017-08-15,1.2869
2017-08-16,1.2891
2017-08-17,1.2868
2017-08-18,1.287
2017-08-21,1.29
2017-08-22,1.2824
2017-08-23,1.28
2017-08-24,1.2801
2017-08-25,1.2882
2017-08-28,1.2933
2017-08-29,1.2918
2017-08-30,1.2925
2017-08-31,1.293
2017-09-01,1.2951
2017-09-04,1.2931
2017-09-05,1.3033
2017-09-06,1.3043
2017-09-07,1.3101
2017-09-08,1.32
2017-09-11,1.3163
2017-09-12,1.3283
2017-09-13,1.3211
2017-09-14,1.3399
2017-09-15,1.3594
2017-09-18,1.3495
2017-09-19,1.3503
2017-09-20,1.3495
2017-09-21,1.358
2017-09-22,1.3504
2017-09-25,1.3466
2017-09-26,1.3458
2017-09-27,1.3387
2017-09-28,1.3442
2017-09-29,1.3398
2017-10-02,1.3276
2017-10-03,1.3237
2017-10-04,1.3248
2017-10-05,1.3119
2017-10-06,1.3066
2017-10-09,1.3142
2017-10-10,1.3203
2017-10-11,1.3223
2017-10-12,1.3262
2017-10-13,1.3285
2017-10-16,1.3251
2017-10-17,1.319
2017-10-18,1.3205
2017-10-19,1.3159
2017-10-20,1.319
2017-10-23,1.3198
2017-10-24,1.3134
2017-10-25,1.3262
2017-10-26,1.3161
2017-10-27,1.3128
2017-10-30,1.3208
2017-10-31,1.3283
2017-11-01,1.3245
2017-11-02,1.3059
2017-11-03,1.3077
2017-11-06,1.3171
2017-11-07,1.3166
2017-11-08,1.3116
2017-11-09,1.3145
2017-11-10,1.3196
2017-11-13,1.3116
2017-11-14,1.3165
2017-11-15,1.3171
2017-11-16,1.3195
2017-11-17,1.3215
2017-11-20,1.3235
2017-11-21,1.3239
2017-11-22,1.3325
2017-11-23,1.3309
2017-11-24,1.3337
2017-11-27,1.3318
2017-11-28,1.3339
2017-11-29,1.3409
2017-11-30,1.3525
2017-12-01,1.3477
2017-12-04,1.348
2017-12-05,1.3443
2017-12-06,1.3393
2017-12-07,1.3474
2017-12-08,1.339
2017-12-11,1.3341
2017-12-12,1.3318
2017-12-13,1.342
2017-12-14,1.3431
2017-12-15,1.332
2017-12-18,1.3383
2017-12-19,1.3385
2017-12-20,1.3376
2017-12-21,1.3386
2017-12-22,1.3363
2017-12-25,1.3371
2017-12-26,1.3374
2017-12-27,1.34
2017-12-28,1.3443
2017-12-29,1.3513
2018-01-01,1.3503
2018-01-02,1.359
2018-01-03,1.3516
2018-01-04,1.3551
2018-01-05,1.3571
2018-01-08,1.3568
2018-01-09,1.354
2018-01-10,1.3507
2018-01-11,1.3538
2018-01-12,1.3728
2018-01-15,1.3792
2018-01-16,1.3792
2018-01-17,1.3831
2018-01-18,1.3894
2018-01-19,1.3858
2018-01-22,1.3987
2018-01-23,1.4
2018-01-24,1.4242
2018-01-25,1.4142
2018-01-26,1.416
2018-01-29,1.4074
2018-01-30,1.4147
2018-01-31,1.4191
2018-02-01,1.4264
2018-02-02,1.4118
2018-02-05,1.3959
2018-02-06,1.3949
2018-02-07,1.3881
2018-02-08,1.3913
2018-02-09,1.3827
2018-02-12,1.3838
2018-02-13,1.3894
2018-02-14,1.3999
2018-02-15,1.4099
2018-02-16,1.4026
2018-02-19,1.4
2018-02-20,1.3996
2018-02-21,1.3918
2018-02-22,1.3956
2018-02-23,1.3971
2018-02-24,1.3971
2018-02-25,1.3968
2018-02-26,1.3966
2018-02-27,1.3906
2018-02-28,1.3751
2018-03-01,1.3773
2018-03-02,1.3803
2018-03-03,1.3803
2018-03-04,1.3795
2018-03-05,1.385
2018-03-06,1.3898
2018-03-07,1.3904
2018-03-08,1.3804
2018-03-09,1.3849
2018-03-10,1.3849
2018-03-11,1.3854
2018-03-12,1.3906
2018-03-13,1.397
2018-03-14,1.3971
2018-03-15,1.3937
2018-03-16,1.3934
2018-03-17,1.3934
2018-03-18,1.3943
2018-03-19,1.4024
2018-03-20,1.4005
2018-03-21,1.4145
2018-03-22,1.4114
2018-03-23,1.4131
2018-03-24,1.4131
2018-03-25,1.4147
2018-03-26,1.4238
2018-03-27,1.4178
2018-03-28,1.408
2018-03-29,1.4027
2018-03-30,1.4016
2018-03-31,1.4016
2018-04-01,1.4038
2018-04-02,1.4047
2018-04-03,1.4068
2018-04-04,1.4086
2018-04-05,1.4008
2018-04-06,1.409
2018-04-07,1.409
2018-04-08,1.4092
2018-04-09,1.4135
2018-04-10,1.4182
2018-04-11,1.4188
2018-04-12,1.4238
2018-04-13,1.4235
2018-04-14,1.4235
2018-04-15,1.4247
2018-04-16,1.4341
2018-04-17,1.4297
2018-04-18,1.4205
2018-04-19,1.4085
2018-04-20,1.4003
2018-04-21,1.4003
2018-04-22,1.4001
2018-04-23,1.3939
2018-04-24,1.3995
2018-04-25,1.3938
2018-04-26,1.3919
2018-04-27,1.3777
2018-04-28,1.3777
2018-04-29,1.3771
2018-04-30,1.377
2018-05-01,1.361
2018-05-02,1.3571
2018-05-03,1.3571
2018-05-04,1.3529
2018-05-05,1.3529
2018-05-06,1.3535
2018-05-07,1.3566
2018-05-08,1.3554
2018-05-09,1.3544
2018-05-10,1.3522
2018-05-11,1.3542
2018-05-12,1.3542
2018-05-13,1.3551
2018-05-14,1.3564
2018-05-15,1.3497
2018-05-16,1.3547
2018-05-17,1.3512
2018-05-18,1.3469
2018-05-19,1.3469
2018-05-20,1.3478
2018-05-21,1.343
2018-05-22,1.344
2018-05-23,1.337
2018-05-24,1.3383
2018-05-25,1.3299
2018-05-26,1.3299
2018-05-27,1.3309
2018-05-28,1.3313
2018-05-29,1.3255
2018-05-30,1.3285
2018-05-31,1.329
2018-06-01,1.3345
2018-06-02,1.3345
2018-06-03,1.3354
2018-06-04,1.3317
2018-06-05,1.3407
2018-06-06,1.342
2018-06-07,1.3418
2018-06-08,1.3404
2018-06-09,1.3404
2018-06-10,1.3414
2018-06-11,1.3373
2018-06-12,1.3374
2018-06-13,1.3383
2018-06-14,1.3256
2018-06-15,1.3286
2018-06-16,1.3286
2018-06-17,1.3275
2018-06-18,1.3259
2018-06-19,1.3175
2018-06-20,1.3173
2018-06-21,1.3248
2018-06-22,1.3265
2018-06-23,1.3265
2018-06-24,1.3263
2018-06-25,1.3279
2018-06-26,1.3221
2018-06-27,1.312
2018-06-28,1.3075
2018-06-29,1.3206
2018-06-30,1.3206
2018-07-01,1.3209
2018-07-02,1.3143
2018-07-03,1.3192
2018-07-04,1.3231
2018-07-05,1.3222
2018-07-06,1.3289
2018-07-07,1.3289
2018-07-08,1.3296
2018-07-09,1.3253
2018-07-10,1.3258
2018-07-11,1.3208
2018-07-12,1.318
2018-07-13,1.3235
2018-07-14,1.3235
2018-07-15,1.3227
2018-07-16,1.3236
2018-07-17,1.3105
2018-07-18,1.3078
2018-07-19,1.3025
2018-07-20,1.3123
2018-07-21,1.3123
2018-07-22,1.3123
2018-07-23,1.3103
2018-07-24,1.3151
2018-07-25,1.32
2018-07-26,1.3108
2018-07-27,1.3114
2018-07-28,1.3114
2018-07-29,1.3111
2018-07-30,1.3135
2018-07-31,1.312
2018-08-01,1.3126
2018-08-02,1.3018
2018-08-03,1.3001
2018-08-04,1.3001
2018-08-05,1.3003
2018-08-06,1.2943
2018-08-07,1.2947
2018-08-08,1.2878
2018-08-09,1.2829
2018-08-10,1.2769
2018-08-11,1.2769
2018-08-12,1.276
