date,symbol,ratingScore,ratingDetailsDCFScore,ratingDetailsROEScore,ratingDetailsROAScore,ratingDetailsPEScore,ratingDetailsPBScore
2023-08-10,AAPL,5,5,5,3,5,5
2023-08-09,AAPL,5,5,5,3,5,5
2023-08-08,AAPL,5,5,5,3,5,5
2023-08-07,AAPL,5,5,5,3,5,5
2023-08-04,AAPL,5,5,5,3,5,5
2023-08-03,AAPL,5,5,5,3,5,5
2023-08-02,AAPL,5,5,5,3,5,5
2023-08-01,AAPL,5,5,5,3,5,5
2023-07-31,AAPL,5,5,5,3,5,5
2023-07-28,AAPL,5,5,5,3,5,5
2023-07-27,AAPL,5,5,5,3,5,5
2023-07-26,AAPL,5,5,5,3,5,5
2023-07-25,AAPL,5,5,5,3,5,5
2023-07-24,AAPL,5,5,5,3,5,5
2023-07-21,AAPL,5,5,5,3,5,5
2023-07-20,AAPL,5,5,5,3,5,5
2023-07-19,AAPL,5,5,5,3,5,5
2023-07-18,AAPL,5,5,5,3,5,5
2023-07-17,AAPL,5,5,5,3,5,5
2023-07-14,AAPL,5,5,5,3,5,5
2023-07-13,AAPL,5,5,5,3,5,5
2023-07-12,AAPL,5,5,5,3,5,5
2023-07-11,AAPL,5,5,5,3,5,5
2023-07-10,AAPL,5,5,5,3,5,5
2023-07-07,AAPL,5,5,5,3,5,5
2023-07-06,AAPL,5,5,5,3,5,5
2023-07-05,AAPL,5,5,5,3,5,5
2023-07-03,AAPL,5,5,5,3,5,5
2023-06-30,AAPL,5,5,5,3,5,5
2023-06-29,AAPL,5,5,5,3,5,5
2023-06-28,AAPL,5,5,5,3,5,5
2023-06-27,AAPL,5,5,5,3,5,5
2023-06-26,AAPL,5,5,5,3,5,5
2023-06-23,AAPL,5,5,5,3,5,5
2023-06-22,AAPL,5,5,5,3,5,5
2023-06-21,AAPL,5,5,5,3,5,5
2023-06-20,AAPL,5,5,5,3,5,5
2023-06-16,AAPL,5,5,5,3,5,5
2023-06-15,AAPL,5,5,5,3,5,5
2023-06-14,AAPL,5,5,5,3,5,5
2023-06-13,AAPL,5,5,5,3,5,5
2023-06-12,AAPL,5,5,5,3,5,5
2023-06-09,AAPL,5,5,5,3,5,5
2023-06-08,AAPL,5,5,5,3,5,5
2023-06-07,AAPL,5,5,5,3,5,5
2023-06-06,AAPL,5,5,5,3,5,5
2023-06-05,AAPL,5,5,5,3,5,5
2023-06-02,AAPL,5,5,5,3,5,5
2023-06-01,AAPL,5,5,5,3,5,5
2023-05-31,AAPL,5,5,5,3,5,5
2023-05-30,AAPL,5,5,5,3,5,5
2023-05-26,AAPL,5,5,5,3,5,5
2023-05-25,AAPL,5,5,5,3,5,5
2023-05-24,AAPL,5,5,5,3,5,5
2023-05-23,AAPL,5,5,5,3,5,5
2023-05-22,AAPL,5,5,5,3,5,5
2023-05-19,AAPL,5,5,5,3,5,5
2023-05-18,AAPL,5,5,5,3,5,5
2023-05-17,AAPL,5,5,5,3,5,5
2023-05-16,AAPL,5,5,5,3,5,5
2023-05-15,AAPL,5,5,5,3,5,5
2023-05-12,AAPL,5,5,5,3,5,5
2023-05-11,AAPL,5,5,5,3,5,5
2023-05-10,AAPL,5,5,5,3,5,5
2023-05-09,AAPL,5,5,5,3,5,5
2023-05-08,AAPL,5,5,5,3,5,5
2023-05-05,AAPL,5,5,5,3,5,5
2023-05-04,AAPL,5,5,5,3,5,5
2023-05-03,AAPL,5,5,5,3,5,5
2023-05-02,AAPL,5,5,5,3,5,5
2023-05-01,AAPL,5,5,5,3,5,5
2023-04-28,AAPL,5,5,5,3,5,5
2023-04-27,AAPL,5,5,5,3,5,5
2023-04-26,AAPL,5,5,5,3,5,5
2023-04-25,AAPL,5,5,5,3,5,5
2023-04-24,AAPL,5,5,5,3,5,5
2023-04-21,AAPL,5,5,5,3,5,5
2023-04-20,AAPL,5,5,5,3,5,5
2023-04-19,AAPL,5,5,5,3,5,5
2023-04-18,AAPL,5,5,5,3,5,5
2023-04-17,AAPL,5,5,5,3,5,5
2023-04-14,AAPL,5,5,5,3,5,5
2023-04-13,AAPL,5,5,5,3,5,5
2023-04-12,AAPL,5,5,5,3,5,5
2023-03-31,AAPL,5,5,5,3,5,5
2023-03-30,AAPL,5,5,5,3,5,5
2023-03-29,AAPL,5,5,5,3,5,5
2023-03-28,AAPL,5,5,5,3,5,5
2023-03-27,AAPL,5,5,5,3,5,5
2023-03-24,AAPL,5,5,5,3,5,5
2023-03-23,AAPL,5,5,5,3,5,5
2023-03-22,AAPL,5,5,5,3,5,5
2023-03-21,AAPL,5,5,5,3,5,5
2023-03-20,AAPL,5,5,5,3,5,5
2023-03-17,AAPL,5,5,5,3,5,5
2023-03-16,AAPL,5,5,5,3,5,5
2023-03-15,AAPL,5,5,5,3,5,5
2023-03-14,AAPL,5,5,5,3,5,5
2023-03-13,AAPL,5,5,5,3,5,5
2023-03-10,AAPL,5,5,5,3,5,5
2023-03-09,AAPL,5,5,5,3,5,5
2023-03-08,AAPL,5,5,5,3,5,5
2023-03-07,AAPL,5,5,5,3,5,5
2023-03-06,AAPL,5,5,5,3,5,5
2023-03-03,AAPL,5,5,5,3,5,5
2023-03-02,AAPL,5,5,5,3,5,5
2023-03-01,AAPL,5,5,5,3,5,5
2023-02-28,AAPL,5,5,5,3,5,5
2023-02-27,AAPL,5,5,5,3,5,5
2023-02-24,AAPL,5,5,5,3,5,5
2023-02-23,AAPL,5,5,5,3,5,5
2023-02-22,AAPL,5,5,5,3,5,5
2023-02-21,AAPL,5,5,5,3,5,5
2023-02-17,AAPL,5,5,5,3,5,5
2023-02-13,AAPL,5,5,5,3,5,5
2023-02-10,AAPL,5,5,5,3,5,5
2023-02-09,AAPL,5,5,5,3,5,5
2023-02-08,AAPL,5,5,5,3,5,5
2023-02-07,AAPL,5,5,5,3,5,5
2023-02-06,AAPL,5,5,5,3,5,5
2023-02-03,AAPL,5,5,5,3,5,5
2023-02-02,AAPL,5,5,5,3,5,5
2023-02-01,AAPL,5,5,5,3,5,5
2023-01-31,AAPL,5,5,5,3,5,5
2023-01-30,AAPL,5,5,5,3,5,5
2023-01-27,AAPL,5,5,5,3,5,5
2023-01-26,AAPL,5,5,5,3,5,5
2023-01-25,AAPL,5,5,5,3,5,5
2023-01-24,AAPL,5,5,5,3,5,5
2023-01-23,AAPL,5,5,5,3,5,5
2023-01-20,AAPL,5,5,5,3,5,5
2023-01-19,AAPL,5,5,5,3,5,5
2023-01-18,AAPL,5,5,5,3,5,5
2023-01-17,AAPL,5,5,5,3,5,5
2023-01-13,AAPL,5,5,5,3,5,5
2023-01-12,AAPL,5,5,5,3,5,5
2023-01-11,AAPL,5,5,5,3,5,5
2023-01-10,AAPL,5,5,5,3,5,5
2023-01-09,AAPL,5,5,5,3,5,5
2023-01-06,AAPL,5,5,5,3,5,5
2023-01-05,AAPL,5,5,5,3,5,5
2023-01-04,AAPL,5,5,5,3,5,5
2023-01-03,AAPL,5,5,5,3,5,5
2022-12-30,AAPL,5,5,5,3,5,5
2022-12-29,AAPL,5,5,5,3,5,5
2022-12-28,AAPL,5,5,5,3,5,5
2022-12-27,AAPL,5,5,5,3,5,5
2022-12-23,AAPL,5,5,5,3,5,5
2022-12-22,AAPL,5,5,5,3,5,5
2022-12-21,AAPL,5,5,5,3,5,5
2022-12-20,AAPL,5,5,5,3,5,5
2022-12-19,AAPL,5,5,5,3,5,5
2022-12-16,AAPL,5,5,5,3,5,5
2022-12-15,AAPL,5,5,5,3,5,5
2022-12-14,AAPL,5,5,5,3,5,5
2022-12-13,AAPL,5,5,5,3,5,5
2022-12-12,AAPL,5,5,5,3,5,5
2022-12-09,AAPL,5,5,5,3,5,5
2022-12-08,AAPL,5,5,5,3,5,5
2022-12-07,AAPL,5,5,5,3,5,5
2022-12-06,AAPL,5,5,5,3,5,5
2022-12-05,AAPL,5,5,5,3,5,5
2022-12-02,AAPL,5,5,5,3,5,5
2022-12-01,AAPL,5,5,5,3,5,5
2022-11-30,AAPL,5,5,5,3,5,5
2022-11-29,AAPL,5,5,5,3,5,5
2022-11-28,AAPL,5,5,5,3,5,5
2022-11-25,AAPL,5,5,5,3,5,5
2022-11-23,AAPL,5,5,5,3,5,5
2022-11-22,AAPL,5,5,5,3,5,5
2022-11-21,AAPL,5,5,5,3,5,5
2022-11-18,AAPL,5,5,5,3,5,5
2022-11-17,AAPL,5,5,5,3,5,5
2022-11-16,AAPL,5,5,5,3,5,5
2022-11-15,AAPL,5,5,5,3,5,5
2022-11-14,AAPL,5,5,5,3,5,5
2022-11-11,AAPL,5,5,5,3,5,5
2022-11-10,AAPL,5,5,5,3,5,5
2022-11-09,AAPL,5,5,5,3,5,5
2022-11-08,AAPL,5,5,5,3,5,5
2022-11-07,AAPL,5,5,5,3,5,5
2022-11-04,AAPL,5,5,5,3,5,5
2022-11-03,AAPL,5,5,5,3,5,5
2022-11-02,AAPL,5,5,5,3,5,5
2022-11-01,AAPL,5,5,5,3,5,5
2022-10-31,AAPL,5,5,5,3,5,5
2022-10-28,AAPL,5,5,5,3,5,5
2022-10-27,AAPL,5,5,5,3,5,5
2022-10-26,AAPL,5,5,5,3,5,5
2022-10-25,AAPL,5,5,5,3,5,5
2022-10-21,AAPL,5,5,5,3,5,5
2022-10-20,AAPL,5,5,5,3,5,5
2022-10-19,AAPL,5,5,5,3,5,5
2022-10-18,AAPL,5,5,5,3,5,5
2022-10-17,AAPL,5,5,5,3,5,5
2022-10-14,AAPL,5,5,5,3,5,5
2022-10-13,AAPL,5,5,5,3,5,5
2022-10-12,AAPL,5,5,5,3,5,5
2022-10-11,AAPL,5,5,5,3,5,5
2022-10-10,AAPL,5,5,5,3,5,5
2022-10-07,AAPL,5,5,5,3,5,5
2022-10-06,AAPL,5,5,5,3,5,5
2022-10-05,AAPL,5,5,5,3,5,5
2022-10-04,AAPL,5,5,5,3,5,5
2022-10-03,AAPL,5,5,5,3,5,5
2022-09-30,AAPL,5,5,5,3,5,5
2022-09-29,AAPL,5,5,5,3,5,5
2022-09-28,AAPL,5,5,5,3,5,5
2022-09-27,AAPL,5,5,5,3,5,5
2022-09-26,AAPL,5,5,5,3,5,5
2022-09-23,AAPL,5,5,5,3,5,5
2022-09-22,AAPL,5,5,5,3,5,5
2022-09-21,AAPL,5,5,5,3,5,5
2022-09-20,AAPL,5,5,5,3,5,5
2022-09-19,AAPL,5,5,5,3,5,5
2022-09-16,AAPL,5,5,5,3,5,5
2022-09-15,AAPL,5,5,5,3,5,5
2022-09-14,AAPL,5,5,5,3,5,5
2022-09-13,AAPL,5,5,5,3,5,5
2022-09-12,AAPL,5,5,5,3,5,5
2022-09-09,AAPL,5,5,5,3,5,5
2022-09-08,AAPL,5,5,5,3,5,5
2022-09-07,AAPL,5,5,5,3,5,5
2022-09-06,AAPL,5,5,5,3,5,5
2022-09-02,AAPL,5,5,5,3,5,5
2022-09-01,AAPL,5,5,5,3,5,5
2022-08-31,AAPL,5,5,5,3,5,5
2022-08-30,AAPL,5,5,5,3,5,5
