TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,3,20,5,0.01,859959.9,-0.28039279,1.337383722,8.59959875,169406.42,-0.22285996,1.178229839,1.694064219,0.537679569,0.740014596,0.579494456,0.619062873
90,5,5,10,0.01,627720.4,-0.314229855,1.130903369,6.27720375,168371.77,-0.247148459,1.256684981,1.683717656,0.532694207,0.764612539,0.533665457,0.610324068
30,3,20,20,0.01,975033.6,-0.442049742,1.314359011,9.75033625,155826.8,-0.177887921,1.029365679,1.558267969,0.472247845,0.693341401,0.664350396,0.609979881
30,3,10,10,0.01,1024831.6,-0.280392781,1.421576205,10.24831625,160005.48,-0.205614471,1.061688944,1.600054844,0.492382328,0.703475674,0.612034279,0.60263076
30,5,10,5,0.01,847980.44,-0.378292127,1.255664786,8.479804375,165367.44,-0.229850427,1.105912297,1.653674375,0.518218228,0.717340967,0.566304422,0.600621206
30,5,20,20,0.01,720719.4,-0.385151691,1.181945541,7.20719375,164252.72,-0.226183263,1.073768107,1.642527188,0.512847095,0.707262839,0.573223848,0.597777927
90,3,10,5,0.01,815204.9,-0.314272985,1.269797541,8.15204875,157629.69,-0.216005356,1.097803008,1.576296875,0.480934848,0.714798471,0.592428133,0.596053818
30,4,5,10,0.01,921414.5,-0.280393049,1.352763863,9.214145,162798.08,-0.23509467,1.083437653,1.627980781,0.505838092,0.710294519,0.556409269,0.590847293
90,5,10,5,0.01,529981.5,-0.385158796,0.985739884,5.299815,160607.69,-0.250769637,1.166276054,1.606076875,0.495283969,0.73626674,0.526832802,0.586127837
90,5,5,5,0.02,606319.3,-0.280392972,1.069535447,6.063193125,156909.38,-0.248703348,1.142644126,1.56909375,0.477464113,0.728857451,0.530731599,0.579017721
90,3,10,10,0.01,897783.7,-0.385158728,1.315170302,8.977836875,160052.97,-0.248877609,1.076670382,1.600529688,0.492611126,0.708172785,0.530402793,0.577062235
30,5,20,5,0.01,1026302.4,-0.286090624,1.305574784,10.26302375,131758.5,-0.149571658,0.911925318,1.317585,0.356277769,0.65652047,0.71777922,0.576859153
